,Day,Major depressive disorder: (Israel),Anxiety: (Israel),Loneliness: (Israel),Sadness: (Israel),Panic attack: (Israel),Suicide: (Israel),Post-traumatic stress disorder: (Israel),Psychological trauma: (Israel),Bipolar disorder: (Israel),Psychologist: (Israel),Psychiatrist: (Israel),Clonazepam: (Israel),Escitalopram: (Israel),Antidepressant: (Israel),average_info_search_rate,average_help_search_rate,average_total_search_rate,multiplier,month,season,is_weekend,is_jewish_holiday,is_national_memorial_day,is_quarantine,is_after_oct_7
0,2019-07-01,0.0,63.0,0.0,37.0,0.0,10.0,0.0,0.0,0.0,48.0,21.0,0.0,24.0,0.0,12.222222222222221,18.6,14.5,1.0,7,summer,False,False,False,False,False
1,2019-07-02,37.0,57.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,38.0,26.0,0.0,20.0,0.0,11.88888888888889,16.8,13.642857142857142,1.0,7,summer,False,False,False,False,False
2,2019-07-03,34.0,47.0,0.0,43.0,0.0,8.0,0.0,0.0,0.0,53.0,0.0,0.0,18.0,0.0,14.666666666666666,14.2,14.5,1.0,7,summer,False,False,False,False,False
3,2019-07-04,0.0,42.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,51.0,0.0,0.0,21.0,0.0,5.555555555555555,14.4,8.714285714285714,1.0,7,summer,False,False,False,False,False
4,2019-07-05,0.0,68.0,0.0,35.0,0.0,11.0,0.0,0.0,0.0,38.0,0.0,0.0,25.0,0.0,12.666666666666666,12.6,12.642857142857142,1.0,7,summer,True,False,False,False,False
5,2019-07-06,54.0,55.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,48.0,0.0,0.0,29.0,0.0,13.0,15.4,13.857142857142858,1.0,7,summer,True,False,False,False,False
6,2019-07-07,32.0,54.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,54.0,17.0,0.0,0.0,0.0,10.333333333333334,14.2,11.714285714285714,1.0,7,summer,False,False,False,False,False
7,2019-07-08,31.0,73.0,0.0,44.0,0.0,11.0,0.0,0.0,0.0,59.0,30.0,0.0,36.0,0.0,17.666666666666668,25.0,20.285714285714285,1.0,7,summer,False,False,False,False,False
8,2019-07-09,35.0,53.0,0.0,0.0,0.0,23.0,0.0,10.0,0.0,48.0,20.0,0.0,18.0,0.0,13.444444444444445,17.2,14.785714285714286,1.0,7,summer,False,False,False,False,False
9,2019-07-10,37.0,54.0,0.0,33.0,0.0,12.0,0.0,0.0,0.0,57.0,17.0,0.0,21.0,0.0,15.11111111111111,19.0,16.5,1.0,7,summer,False,False,False,False,False
10,2019-07-11,0.0,62.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,47.0,23.0,0.0,16.0,0.0,8.555555555555555,17.2,11.642857142857142,1.0,7,summer,False,False,False,False,False
11,2019-07-12,33.0,60.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,84.0,0.0,0.0,25.0,0.0,11.0,21.8,14.857142857142858,1.0,7,summer,True,False,False,False,False
12,2019-07-13,58.0,54.0,0.0,39.0,0.0,12.0,0.0,0.0,0.0,100.0,0.0,0.0,24.0,0.0,18.11111111111111,24.8,20.5,1.0,7,summer,True,False,False,False,False
13,2019-07-14,31.0,47.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,81.0,47.0,0.0,28.0,0.0,10.0,31.2,17.571428571428573,1.0,7,summer,False,False,False,False,False
14,2019-07-15,38.0,47.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,80.0,16.0,0.0,0.0,0.0,11.777777777777779,19.2,14.428571428571429,1.0,7,summer,False,False,False,False,False
15,2019-07-16,38.0,74.0,0.0,36.0,0.0,18.0,0.0,0.0,0.0,31.0,20.0,16.0,0.0,0.0,18.444444444444443,13.4,16.642857142857142,1.0,7,summer,False,False,False,False,False
16,2019-07-17,48.0,61.0,0.0,25.0,0.0,14.0,0.0,0.0,0.0,42.0,23.0,0.0,0.0,0.0,16.444444444444443,13.0,15.214285714285714,1.0,7,summer,False,False,False,False,False
17,2019-07-18,57.0,62.0,0.0,43.0,27.0,16.0,0.0,0.0,0.0,52.0,20.0,0.0,28.0,0.0,22.77777777777778,20.0,21.785714285714285,1.0,7,summer,False,False,False,False,False
18,2019-07-19,0.0,72.0,0.0,53.0,0.0,11.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,15.11111111111111,5.4,11.642857142857142,1.0,7,summer,True,False,False,False,False
19,2019-07-20,38.0,85.0,0.0,42.0,0.0,13.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,19.77777777777778,6.8,15.142857142857142,1.0,7,summer,True,False,False,False,False
20,2019-07-21,40.0,70.0,0.0,41.0,0.0,11.0,0.0,0.0,0.0,60.0,0.0,18.0,29.0,0.0,18.0,21.4,19.214285714285715,1.0,7,summer,False,False,False,False,False
21,2019-07-22,67.0,55.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,61.0,20.0,0.0,21.0,0.0,14.88888888888889,20.4,16.857142857142858,1.0,7,summer,False,False,False,False,False
22,2019-07-23,33.0,60.0,0.0,67.0,0.0,8.0,0.0,6.0,6.0,69.0,31.0,0.0,21.0,0.0,20.0,24.2,21.5,1.0,7,summer,False,False,False,False,False
23,2019-07-24,34.0,54.0,0.0,47.0,0.0,6.0,0.0,0.0,0.0,35.0,26.0,0.0,0.0,0.0,15.666666666666666,12.2,14.428571428571429,1.0,7,summer,False,False,False,False,False
24,2019-07-25,0.0,64.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,51.0,0.0,0.0,29.0,0.0,8.777777777777779,16.0,11.357142857142858,1.0,7,summer,False,False,False,False,False
25,2019-07-26,43.0,47.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,31.0,20.0,0.0,26.0,0.0,11.11111111111111,15.4,12.642857142857142,1.0,7,summer,True,False,False,False,False
