Category: All categories,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Day,Major depressive disorder: (Israel),Anxiety: (Israel),Loneliness: (Israel),Sadness: (Israel),Panic attack: (Israel),Suicide: (Israel),Post-traumatic stress disorder: (Israel),Psychological trauma: (Israel),Bipolar disorder: (Israel),Psychologist: (Israel),Psychiatrist: (Israel),Clonazepam: (Israel),Escitalopram: (Israel),Antidepressant: (Israel)
01/01/2021,35,40,0,0,0,7,0,0,0,9,0,0,0,0
02/01/2021,36,61,0,32,0,8,0,0,0,12,0,0,0,0
03/01/2021,46,61,0,30,0,8,0,5,5,13,5,0,8,0
04/01/2021,33,54,0,28,0,9,5,6,0,14,6,0,7,0
05/01/2021,35,42,0,52,29,11,0,0,0,14,6,0,5,0
06/01/2021,26,66,0,26,0,11,5,5,8,16,8,0,7,0
07/01/2021,25,37,0,30,0,12,0,0,0,11,9,0,0,0
08/01/2021,0,43,0,67,0,9,0,0,0,8,7,0,0,0
09/01/2021,39,64,0,38,0,9,8,0,0,9,0,6,0,0
10/01/2021,34,45,0,34,21,10,0,0,0,11,6,0,6,0
11/01/2021,25,58,19,24,0,12,0,0,0,17,0,0,0,0
12/01/2021,53,68,0,49,0,7,0,0,0,15,5,6,7,0
13/01/2021,21,59,0,39,0,17,0,0,0,12,7,0,6,0
14/01/2021,41,34,0,30,0,17,0,0,5,14,6,0,6,0
15/01/2021,0,61,0,55,0,0,0,0,0,0,7,0,0,0
16/01/2021,61,47,0,41,0,14,0,0,0,10,0,0,6,0
17/01/2021,29,51,0,42,19,7,0,0,0,12,0,0,6,0
18/01/2021,0,52,0,37,0,7,0,0,0,12,9,0,0,0
19/01/2021,35,46,19,52,0,7,0,0,0,11,4,0,4,0
20/01/2021,30,43,0,43,0,7,0,0,6,12,6,0,4,0
21/01/2021,24,72,0,29,0,5,7,0,0,12,0,0,7,0
22/01/2021,48,38,0,47,0,10,0,0,0,9,0,0,8,0
23/01/2021,49,60,0,44,0,8,6,0,0,11,0,0,0,0
24/01/2021,26,43,0,43,0,8,0,0,5,16,6,0,7,0
25/01/2021,24,50,0,24,0,9,0,0,10,16,7,0,5,0
26/01/2021,39,57,0,33,24,8,0,6,9,16,7,0,7,5
27/01/2021,34,50,0,29,23,7,0,0,0,20,6,0,5,0
28/01/2021,42,22,24,28,28,9,0,0,9,41,5,0,6,0
29/01/2021,0,83,0,32,0,9,0,0,9,17,9,0,6,0
30/01/2021,43,79,0,50,0,7,0,0,7,11,6,0,0,0
31/01/2021,0,63,0,42,34,10,9,0,0,14,5,6,0,0
01/02/2021,34,66,0,32,54,6,5,0,0,20,6,0,7,0
02/02/2021,30,41,0,55,24,7,7,5,0,100,5,5,0,0
03/02/2021,28,52,21,30,0,6,0,0,0,38,8,0,0,0
04/02/2021,35,57,0,0,19,9,0,0,5,22,6,0,0,0
05/02/2021,0,43,0,42,0,12,0,0,9,15,0,0,0,0
06/02/2021,28,77,0,56,0,8,0,10,0,15,0,0,0,0
07/02/2021,40,51,0,47,0,7,5,5,0,14,13,0,0,5
08/02/2021,31,58,0,0,0,7,5,0,0,16,6,5,8,0
09/02/2021,37,63,0,37,0,13,0,0,0,14,0,5,5,0
10/02/2021,53,43,0,44,0,6,0,8,0,15,5,0,0,0
11/02/2021,38,32,0,23,0,12,0,0,5,15,7,0,0,0
12/02/2021,55,42,0,29,0,8,0,7,0,9,0,9,6,0
13/02/2021,0,51,37,0,0,14,0,0,0,11,0,0,0,0
14/02/2021,40,50,26,49,22,9,0,0,0,12,9,0,5,0
15/02/2021,43,37,0,37,0,6,0,0,5,14,6,0,5,0
16/02/2021,36,47,0,28,0,10,0,0,0,15,7,0,5,0
17/02/2021,24,28,0,30,0,9,0,0,7,14,5,0,7,0
18/02/2021,26,37,22,33,0,10,0,0,0,10,6,0,8,0
19/02/2021,30,39,0,33,0,10,0,0,0,11,0,0,6,0
20/02/2021,42,64,0,37,0,6,0,0,0,8,0,0,7,0
21/02/2021,39,51,0,0,0,10,0,0,0,14,0,0,0,0
22/02/2021,37,66,0,28,0,7,0,0,0,10,6,0,7,0
23/02/2021,34,62,0,42,0,9,0,0,6,6,7,0,0,0
24/02/2021,54,57,0,31,0,8,0,7,0,16,6,6,0,0
25/02/2021,45,37,0,30,0,8,0,7,0,12,0,0,0,0
26/02/2021,27,63,30,39,0,7,0,0,7,8,8,0,0,0
27/02/2021,45,78,31,34,0,14,0,7,0,12,0,0,6,0
28/02/2021,51,56,0,34,0,7,0,0,0,10,7,0,0,0
01/03/2021,43,64,0,25,0,10,0,5,0,13,6,0,0,0
