Category: All categories,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Day,Major depressive disorder: (Israel),Anxiety: (Israel),Loneliness: (Israel),Sadness: (Israel),Panic attack: (Israel),Suicide: (Israel),Post-traumatic stress disorder: (Israel),Psychological trauma: (Israel),Bipolar disorder: (Israel),Psychologist: (Israel),Psychiatrist: (Israel),Clonazepam: (Israel),Escitalopram: (Israel),Antidepressant: (Israel)
01/07/2021,34,43,0,39,0,8,0,0,0,80,35,0,40,0
02/07/2021,43,52,0,48,0,16,0,0,0,57,0,0,0,0
03/07/2021,60,73,0,52,0,12,0,0,0,57,0,0,0,0
04/07/2021,32,83,0,61,0,10,0,0,0,92,27,0,38,0
05/07/2021,43,72,0,46,0,7,0,5,8,81,25,0,37,0
06/07/2021,46,50,0,38,0,8,0,7,0,57,25,0,25,0
07/07/2021,54,73,0,39,0,9,0,0,0,69,25,0,0,0
08/07/2021,41,50,0,0,0,12,0,0,0,62,34,0,25,0
09/07/2021,36,32,0,40,0,8,0,0,0,0,36,0,0,0
10/07/2021,88,56,0,44,0,12,0,0,0,0,0,0,0,0
11/07/2021,44,51,0,40,0,5,6,6,0,79,31,0,30,0
12/07/2021,53,85,0,32,0,7,0,5,5,77,25,0,30,0
13/07/2021,40,64,0,26,0,10,0,6,0,80,0,0,27,0
14/07/2021,51,40,0,51,0,6,0,7,0,74,29,0,26,0
15/07/2021,33,58,0,36,0,7,0,0,0,74,34,0,0,41
16/07/2021,44,45,0,54,0,13,0,0,0,61,0,0,0,0
17/07/2021,46,52,0,49,0,0,7,0,0,67,30,33,0,0
18/07/2021,57,76,0,46,0,0,0,7,21,68,34,0,45,0
19/07/2021,50,49,0,43,0,6,0,0,10,73,30,0,43,0
20/07/2021,34,60,0,38,0,9,0,0,0,100,29,27,30,0
21/07/2021,57,43,0,29,0,6,0,0,7,57,25,0,30,0
22/07/2021,53,72,0,61,0,9,0,0,0,68,0,0,0,0
23/07/2021,53,53,0,40,0,11,0,0,0,41,0,0,0,0
24/07/2021,57,48,0,53,0,0,0,0,0,83,0,34,37,0
25/07/2021,48,66,0,51,0,7,0,0,0,59,35,0,36,0
26/07/2021,52,65,0,33,0,15,9,0,0,68,24,0,0,0
27/07/2021,34,57,0,39,0,13,0,0,0,72,0,0,0,0
28/07/2021,49,82,0,36,0,8,0,0,0,65,28,0,24,0
29/07/2021,25,59,0,35,0,6,0,6,0,59,0,0,0,0
30/07/2021,43,51,0,0,0,7,0,0,0,72,30,34,36,0
31/07/2021,53,69,0,46,0,0,8,8,0,61,0,0,0,0
01/08/2021,62,77,0,41,0,9,0,0,0,56,34,0,23,0
02/08/2021,53,56,0,43,0,7,0,0,0,68,50,0,31,0
03/08/2021,40,84,0,53,0,6,0,0,0,79,46,0,0,0
04/08/2021,47,63,0,44,0,9,0,0,0,75,0,0,26,0
05/08/2021,47,51,0,34,0,6,0,0,0,73,0,0,0,0
06/08/2021,50,70,0,40,0,8,0,0,0,55,0,0,35,0
07/08/2021,68,75,31,38,35,10,0,0,0,46,0,0,0,0
08/08/2021,43,50,0,46,0,10,0,0,0,87,29,0,31,0
09/08/2021,48,73,0,31,0,7,0,0,0,48,26,0,24,0
10/08/2021,52,70,0,28,0,9,0,0,0,54,28,0,0,0
11/08/2021,30,45,0,33,0,63,0,6,0,81,27,0,36,0
12/08/2021,49,61,0,40,0,39,0,0,17,59,38,0,0,0
13/08/2021,46,74,0,44,0,23,0,0,0,53,0,0,0,0
14/08/2021,40,63,0,43,0,22,9,0,0,81,0,0,0,0
15/08/2021,30,37,0,34,0,18,0,0,0,72,0,0,28,0
16/08/2021,34,60,0,34,0,11,0,0,6,68,33,0,26,0
17/08/2021,27,79,0,0,0,7,0,0,0,81,30,0,26,0
18/08/2021,46,56,0,45,0,7,0,0,0,54,0,0,0,0
19/08/2021,36,62,46,26,0,7,0,0,0,57,0,0,32,0
20/08/2021,0,61,28,34,0,7,0,0,0,41,0,40,0,29
21/08/2021,55,78,0,64,0,16,0,0,0,64,0,0,42,0
22/08/2021,41,62,0,34,0,9,0,7,0,51,36,0,28,0
23/08/2021,42,44,0,36,0,7,0,7,0,63,40,0,27,0
24/08/2021,38,0,0,42,0,11,0,0,0,70,38,0,0,0
25/08/2021,38,68,39,42,0,7,0,6,0,77,24,0,39,0
26/08/2021,52,57,33,29,0,8,0,0,0,72,26,0,30,0
27/08/2021,38,70,0,47,0,0,0,0,7,66,30,0,39,0
28/08/2021,62,63,30,61,0,15,0,0,0,48,0,0,0,0
29/08/2021,60,71,0,35,0,12,0,0,0,68,45,0,0,0
30/08/2021,40,50,25,25,0,8,6,6,0,73,26,0,38,0
31/08/2021,31,53,0,34,0,0,6,0,7,63,31,0,0,0
01/09/2021,34,51,0,0,0,14,0,8,0,72,33,0,0,0
02/09/2021,30,80,0,42,0,9,0,0,0,53,28,0,33,0
03/09/2021,42,62,0,52,0,10,0,0,0,45,0,0,0,0
04/09/2021,40,50,0,53,0,10,0,0,0,52,0,0,0,0
05/09/2021,51,71,0,46,0,9,0,0,0,42,0,0,41,0
06/09/2021,43,63,0,37,0,0,0,0,0,0,0,0,0,0
07/09/2021,46,42,0,47,0,11,0,0,0,36,0,0,0,0
08/09/2021,39,64,0,80,0,11,0,0,0,48,0,0,38,0
09/09/2021,43,78,0,31,0,7,0,0,0,78,40,0,34,0
10/09/2021,47,100,0,48,0,11,0,0,0,50,0,41,30,0
11/09/2021,41,53,0,39,33,8,0,0,0,75,50,37,0,0
12/09/2021,42,71,0,29,0,6,0,0,0,56,47,0,0,0
13/09/2021,63,66,0,42,0,9,0,0,0,46,35,0,0,0
14/09/2021,44,53,0,38,0,8,0,0,0,79,0,0,0,0
15/09/2021,36,55,0,0,0,0,0,0,0,36,0,0,0,0
16/09/2021,0,57,0,60,0,0,0,0,0,67,0,0,0,0
17/09/2021,41,91,0,59,30,11,0,0,0,41,38,0,0,0
18/09/2021,42,81,0,38,0,11,0,0,0,55,0,0,48,0
19/09/2021,40,85,0,35,30,15,0,8,0,40,0,0,29,0
20/09/2021,38,39,0,55,0,9,0,0,0,42,0,0,32,0
21/09/2021,49,70,0,43,0,13,0,0,0,32,0,0,32,40
22/09/2021,0,38,33,0,0,10,0,0,0,32,43,0,0,0
23/09/2021,0,42,0,26,0,7,0,0,0,52,29,0,0,0
24/09/2021,36,79,0,52,0,9,0,0,0,67,0,0,0,0
25/09/2021,47,92,0,45,0,8,0,0,0,36,0,0,0,0
26/09/2021,31,67,0,35,0,0,6,0,0,52,38,0,36,0
